Режим подачи заявки,Порядок подачи заявки,Направление,Дневная/вечерняя форма обучения,Предыдущее образование,Предыдущее образование (оценка),Вступительный балл,Перемещенный,Образовательные специальные потребности,Пол,Возраст при зачислении,Получатель стипендии,Международный статус,Уровень безработицы,Уровень инфляции,ВВП
44,1,8014,0,39,130.0,133.4,0,0,0,21,1,0,12.4,0.5,1.79
1,1,9238,1,1,139.0,126.1,0,0,0,19,1,0,12.7,3.7,-1.7
39,1,9254,1,1,130.0,113.5,0,0,0,24,1,0,12.4,0.5,1.79
1,1,9500,1,1,139.0,121.3,1,0,0,19,1,0,9.4,-0.8,-3.12
1,1,9773,1,1,127.0,121.8,1,0,0,20,1,0,9.4,-0.8,-3.12
1,3,9130,1,1,167.0,159.3,0,0,0,19,0,0,7.6,2.6,0.32
39,1,9991,0,1,130.0,120.0,0,0,0,27,0,0,9.4,-0.8,-3.12
1,1,9500,1,1,130.0,129.1,1,0,0,18,0,0,15.5,2.8,-4.06
7,1,9254,1,3,130.0,130.0,0,0,0,39,0,0,12.4,0.5,1.79
39,1,9130,1,40,129.0,155.3,1,0,0,27,0,0,12.4,0.5,1.79
17,1,9500,1,1,141.0,139.8,1,0,0,18,0,0,9.4,-0.8,-3.12
1,3,171,1,1,125.0,115.2,1,0,0,18,0,0,7.6,2.6,0.32
1,2,9500,1,1,125.0,114.9,0,0,0,18,0,0,16.2,0.3,-0.92
44,1,9238,1,39,130.0,131.9,0,0,0,21,1,0,13.9,-0.3,0.79
17,3,171,1,1,133.0,126.0,1,0,1,19,1,0,10.8,1.4,1.74
17,1,9070,1,1,127.0,130.2,1,0,1,19,0,0,10.8,1.4,1.74
43,1,9070,1,1,116.0,120.9,0,0,1,24,0,0,12.7,3.7,-1.7
42,1,9500,1,19,133.1,126.0,1,0,1,29,0,0,13.9,-0.3,0.79
1,3,171,1,1,139.0,128.2,1,0,1,19,1,0,10.8,1.4,1.74
44,1,9003,1,39,130.0,130.0,1,0,1,23,0,0,8.9,1.4,3.51
1,3,9147,1,1,125.0,120.1,0,0,1,19,0,0,16.2,0.3,-0.92
39,1,9254,1,1,160.0,100.0,0,0,1,26,0,0,12.7,3.7,-1.7
17,1,9147,1,1,148.0,134.0,0,0,1,18,0,0,7.6,2.6,0.32
17,1,9500,1,1,150.0,130.8,0,0,1,24,0,0,13.9,-0.3,0.79
1,1,171,1,1,141.0,135.8,1,0,1,19,0,0,15.5,2.8,-4.06
17,4,9254,1,1,118.0,111.7,1,0,1,18,0,0,12.4,0.5,1.79
1,2,9773,1,1,142.0,132.9,1,0,1,18,0,0,10.8,1.4,1.74
17,3,9147,1,1,120.0,115.5,1,0,1,18,0,0,10.8,1.4,1.74
18,4,9254,1,1,106.0,106.0,1,0,1,21,1,0,9.4,-0.8,-3.12
17,4,9773,1,1,121.0,120.3,1,0,1,19,1,0,8.9,1.4,3.51
17,4,9500,1,1,150.0,130.8,0,0,1,22,1,0,16.2,0.3,-0.92
39,1,8014,0,1,120.0,117.0,0,0,1,33,0,0,10.8,1.4,1.74
1,6,9853,1,1,114.0,110.2,1,0,1,20,0,0,10.8,1.4,1.74
39,1,9991,0,2,140.0,155.7,1,0,1,35,0,0,10.8,1.4,1.74
39,1,9003,1,4,160.0,180.4,0,0,1,24,0,0,12.4,0.5,1.79
17,1,9254,1,1,120.0,125.5,0,0,1,18,0,0,12.7,3.7,-1.7
39,1,8014,0,1,130.0,110.0,1,0,0,33,0,0,9.4,-0.8,-3.12
42,1,9500,1,1,160.0,161.0,1,0,0,22,1,0,10.8,1.4,1.74
39,1,9670,1,1,120.0,100.0,0,0,0,25,1,0,9.4,-0.8,-3.12
17,1,9070,1,1,124.0,117.6,1,0,1,20,0,0,7.6,2.6,0.32
1,6,9147,1,1,143.0,128.7,1,0,1,23,0,0,11.1,0.6,2.02
43,2,9119,1,1,115.0,112.2,1,0,1,18,0,0,15.5,2.8,-4.06
39,1,9500,1,1,133.1,100.8,0,0,1,24,0,0,13.9,-0.3,0.79
17,2,9773,1,1,133.1,105.0,1,0,0,21,0,1,8.9,1.4,3.51
15,1,9130,1,1,133.1,100.0,0,0,0,26,0,1,8.9,1.4,3.51
39,1,9853,1,10,133.1,115.5,0,0,0,39,0,0,7.6,2.6,0.32
39,1,8014,0,1,133.1,114.0,0,0,0,44,0,0,12.7,3.7,-1.7
15,1,9119,1,1,130.0,137.0,1,0,1,19,0,1,13.9,-0.3,0.79
1,5,9773,1,1,135.0,124.9,1,0,0,18,0,0,8.9,1.4,3.51
1,5,9500,1,1,132.0,120.3,1,0,0,18,1,0,12.4,0.5,1.79
1,1,9085,1,1,135.0,134.3,1,0,0,19,0,0,12.7,3.7,-1.7
1,4,9500,1,1,115.0,111.5,1,0,0,19,0,0,13.9,-0.3,0.79
53,1,9085,1,42,130.0,128.8,0,0,0,21,0,0,8.9,1.4,3.51
1,4,171,1,1,133.1,110.0,1,0,0,20,0,0,16.2,0.3,-0.92
39,1,8014,0,1,130.0,113.5,1,0,0,36,0,0,9.4,-0.8,-3.12
39,1,9003,1,12,133.1,160.0,0,0,0,43,0,0,15.5,2.8,-4.06
18,1,9853,1,1,123.0,117.4,1,0,0,19,0,0,11.1,0.6,2.02
51,1,9070,1,1,130.0,122.2,0,0,0,20,0,0,11.1,0.6,2.02
1,2,9238,1,1,122.0,118.2,1,0,0,19,0,0,16.2,0.3,-0.92
1,1,9085,1,1,113.0,106.7,1,0,0,20,0,0,15.5,2.8,-4.06
1,5,9500,1,1,111.0,108.2,1,0,0,20,0,0,12.4,0.5,1.79
17,2,9853,1,1,133.1,107.0,1,0,0,20,0,0,16.2,0.3,-0.92
1,1,9238,1,1,142.0,136.1,1,0,0,18,0,0,13.9,-0.3,0.79
17,2,9147,1,1,123.0,115.3,1,0,0,18,1,0,8.9,1.4,3.51
1,1,9085,1,1,131.0,139.8,1,0,0,19,0,0,10.8,1.4,1.74
1,3,9773,1,1,158.0,157.0,1,0,0,18,0,0,10.8,1.4,1.74
17,2,9500,1,1,122.0,131.0,1,0,0,18,0,0,7.6,2.6,0.32
43,1,9500,1,1,130.0,100.0,0,0,0,20,0,0,13.9,-0.3,0.79
17,1,9238,1,1,154.0,140.4,1,0,0,20,1,0,7.6,2.6,0.32
17,1,9147,1,1,120.0,113.4,0,0,0,20,0,0,12.4,0.5,1.79
1,2,9085,1,1,140.0,137.0,0,0,0,18,0,0,9.4,-0.8,-3.12
1,1,9147,1,1,127.0,121.8,0,0,0,18,0,0,11.1,0.6,2.02
17,1,9254,1,1,133.1,131.0,1,0,0,21,0,0,9.4,-0.8,-3.12
1,2,9147,1,1,120.0,118.6,1,0,0,19,0,0,16.2,0.3,-0.92
1,1,171,1,1,137.0,122.3,0,0,0,19,0,0,10.8,1.4,1.74
1,1,9670,1,1,131.0,127.9,0,0,0,19,1,0,9.4,-0.8,-3.12
1,1,9085,1,1,130.0,121.3,1,0,0,19,0,0,15.5,2.8,-4.06
17,6,9556,1,1,122.0,117.1,1,0,0,19,0,0,13.9,-0.3,0.79
44,1,9085,1,39,160.0,160.0,1,0,0,20,0,0,12.4,0.5,1.79
1,1,9853,1,1,146.0,145.3,1,0,0,18,1,0,9.4,-0.8,-3.12
17,3,9238,1,1,131.0,122.6,1,0,0,18,0,0,12.4,0.5,1.79
17,6,9500,1,1,132.0,128.0,1,0,0,19,0,0,12.4,0.5,1.79
1,3,9500,1,1,138.0,124.9,1,0,0,18,1,0,13.9,-0.3,0.79
17,2,9070,1,1,130.0,123.7,1,0,0,18,0,0,7.6,2.6,0.32
1,4,9147,1,1,126.0,120.1,1,0,0,19,0,0,8.9,1.4,3.51
17,6,9500,1,1,148.0,131.7,1,0,0,19,0,0,13.9,-0.3,0.79
43,1,9238,1,1,130.0,133.2,0,0,0,20,0,0,7.6,2.6,0.32
1,1,9670,1,1,117.0,109.3,0,0,0,19,1,0,12.4,0.5,1.79
17,1,9670,1,1,120.0,113.0,1,0,0,20,0,0,7.6,2.6,0.32
1,1,9773,1,1,153.0,157.9,0,0,0,18,1,0,8.9,1.4,3.51
1,2,9500,1,1,117.0,112.1,0,0,0,20,1,0,11.1,0.6,2.02
18,1,9500,1,1,178.0,174.7,0,0,0,18,0,0,13.9,-0.3,0.79
1,5,9500,1,1,129.0,128.8,1,0,0,19,0,0,7.6,2.6,0.32
1,6,9773,1,1,116.0,110.1,1,0,0,19,1,0,12.4,0.5,1.79
51,1,9147,1,1,99.0,99.7,1,0,0,22,0,0,8.9,1.4,3.51
1,3,9238,1,1,135.0,121.0,1,0,0,19,1,0,12.4,0.5,1.79
1,3,9500,1,1,141.0,131.7,1,0,0,19,1,0,15.5,2.8,-4.06
17,5,9853,1,1,132.0,119.1,1,0,0,19,1,0,9.4,-0.8,-3.12
1,4,9254,1,1,132.0,124.7,1,0,0,19,0,0,7.6,2.6,0.32
17,1,9254,1,1,113.0,117.2,1,0,0,20,0,0,7.6,2.6,0.32
1,1,9147,1,1,134.0,128.8,0,0,0,18,0,0,13.9,-0.3,0.79
1,1,9500,1,1,136.0,131.5,0,0,0,20,1,0,11.1,0.6,2.02
1,1,171,1,1,136.0,121.7,1,0,0,18,0,0,9.4,-0.8,-3.12
1,1,9085,1,1,129.0,123.4,0,0,0,19,0,0,7.6,2.6,0.32
17,1,9853,1,1,138.0,124.7,1,0,0,18,0,0,9.4,-0.8,-3.12
1,1,9853,1,1,137.0,132.8,1,0,0,18,0,0,7.6,2.6,0.32
43,1,9853,1,1,115.0,108.7,1,0,0,21,0,0,9.4,-0.8,-3.12
1,1,9853,1,1,129.0,138.1,0,0,0,19,0,0,7.6,2.6,0.32
1,1,9147,1,1,131.0,126.5,0,0,0,18,1,0,12.4,0.5,1.79
17,2,9238,1,1,133.0,127.4,1,0,0,18,1,0,12.7,3.7,-1.7
1,3,9238,1,1,125.0,123.6,1,0,0,20,0,0,9.4,-0.8,-3.12
39,1,8014,0,1,120.0,122.0,0,0,0,24,1,0,11.1,0.6,2.02
1,1,9670,1,1,128.0,118.2,0,0,0,19,0,0,10.8,1.4,1.74
1,1,9500,1,1,127.0,123.9,1,0,0,18,1,0,15.5,2.8,-4.06
1,2,9500,1,1,134.0,125.8,1,0,0,18,0,0,15.5,2.8,-4.06
17,5,9853,1,1,132.0,123.3,1,0,0,21,0,0,10.8,1.4,1.74
17,2,9670,1,1,124.0,124.4,0,0,0,19,0,0,7.6,2.6,0.32
17,1,9773,1,1,133.1,126.0,0,0,0,19,1,0,15.5,2.8,-4.06
39,1,9003,1,1,170.0,170.0,0,0,0,47,0,0,8.9,1.4,3.51
17,3,9238,1,1,125.0,121.5,0,0,0,19,0,0,13.9,-0.3,0.79
39,1,9500,1,3,130.0,130.0,0,0,0,29,0,0,12.7,3.7,-1.7
43,1,9238,1,1,125.0,117.0,1,0,0,21,0,0,16.2,0.3,-0.92
39,1,9085,1,1,130.0,130.0,1,0,0,28,0,0,12.7,3.7,-1.7
17,2,9556,1,1,133.1,108.0,0,0,0,20,0,0,15.5,2.8,-4.06
17,1,9500,1,1,131.0,132.3,1,0,0,19,0,0,7.6,2.6,0.32
42,1,8014,0,1,150.0,148.0,0,0,0,26,0,0,9.4,-0.8,-3.12
17,2,9254,1,1,125.0,122.6,1,0,0,20,0,0,11.1,0.6,2.02
1,1,9670,1,1,131.0,123.0,1,0,0,18,1,0,7.6,2.6,0.32
39,1,9853,1,1,130.0,102.5,0,0,0,27,0,0,7.6,2.6,0.32
1,2,9500,1,1,123.0,113.3,1,0,0,20,0,0,7.6,2.6,0.32
1,5,9853,1,1,141.0,133.0,1,0,0,18,0,0,9.4,-0.8,-3.12
7,1,9500,1,3,140.0,140.0,0,0,0,33,0,0,16.2,0.3,-0.92
43,1,9853,1,1,140.0,128.3,1,0,0,35,0,0,12.4,0.5,1.79
44,1,9991,0,39,140.0,140.0,0,0,0,26,1,0,9.4,-0.8,-3.12
39,1,9773,1,19,133.1,104.0,0,0,0,27,0,0,11.1,0.6,2.02
18,3,9070,1,1,131.0,122.3,1,0,0,19,0,0,15.5,2.8,-4.06
17,2,9254,1,1,143.0,135.0,0,0,0,20,0,0,11.1,0.6,2.02
18,2,9147,1,1,132.0,119.1,1,0,0,20,0,0,10.8,1.4,1.74
43,1,9238,1,1,143.0,126.6,0,0,0,21,0,0,9.4,-0.8,-3.12
17,3,9500,1,1,141.0,129.0,1,0,0,18,1,0,7.6,2.6,0.32
39,1,9085,1,1,133.1,162.3,1,0,0,24,0,0,8.9,1.4,3.51
17,4,9070,1,1,148.0,163.4,1,0,0,20,0,0,16.2,0.3,-0.92
1,1,9254,1,1,125.0,121.5,0,0,0,21,1,0,13.9,-0.3,0.79
1,1,8014,0,1,120.0,122.8,0,0,0,23,0,0,9.4,-0.8,-3.12
39,1,9147,1,1,140.0,118.0,1,0,0,24,0,0,7.6,2.6,0.32
51,1,9853,1,1,139.0,134.0,0,0,0,21,0,0,12.4,0.5,1.79
1,4,9500,1,1,142.0,129.8,1,0,0,18,0,0,12.7,3.7,-1.7
39,1,9991,0,40,130.0,152.0,1,0,0,27,0,0,8.9,1.4,3.51
18,6,9500,1,1,126.0,122.8,1,0,0,18,0,0,9.4,-0.8,-3.12
7,1,9119,1,3,150.0,150.0,0,0,0,35,0,0,13.9,-0.3,0.79
1,1,9853,1,1,130.0,131.8,0,0,0,18,0,0,11.1,0.6,2.02
39,1,9500,1,1,120.0,105.9,0,0,0,35,0,0,11.1,0.6,2.02
1,1,9085,1,1,138.0,132.1,1,0,0,19,0,0,10.8,1.4,1.74
1,4,9238,1,1,127.0,127.4,1,0,0,20,0,0,7.6,2.6,0.32
1,4,9500,1,1,140.0,129.5,1,0,0,18,0,0,10.8,1.4,1.74
44,1,9238,1,39,130.0,126.7,0,0,0,21,0,0,13.9,-0.3,0.79
17,2,9238,1,1,128.0,116.5,0,0,0,18,1,0,16.2,0.3,-0.92
1,1,9238,1,1,132.0,119.1,1,0,0,18,0,0,7.6,2.6,0.32
1,2,9500,1,1,149.0,126.5,1,0,0,18,0,0,12.7,3.7,-1.7
1,4,9773,1,1,155.0,149.8,1,0,0,18,1,0,16.2,0.3,-0.92
1,1,9085,1,1,120.0,115.1,1,0,0,19,0,0,13.9,-0.3,0.79
39,1,9254,1,19,133.1,124.5,0,0,0,36,1,0,16.2,0.3,-0.92
1,2,9500,1,1,131.0,128.3,1,0,0,18,1,0,12.7,3.7,-1.7
1,1,9500,1,1,149.0,136.0,0,0,0,18,1,0,7.6,2.6,0.32
43,1,9130,1,1,140.0,140.0,1,0,0,20,1,0,13.9,-0.3,0.79
39,1,9991,0,1,133.1,126.3,0,0,0,26,1,0,16.2,0.3,-0.92
43,1,9773,1,1,122.0,126.9,0,0,0,21,0,0,7.6,2.6,0.32
39,1,9556,1,40,130.0,145.0,0,0,0,25,0,0,15.5,2.8,-4.06
18,1,9147,1,1,121.0,115.8,1,0,0,19,1,0,12.4,0.5,1.79
39,1,8014,0,1,120.0,100.0,1,0,0,24,0,0,9.4,-0.8,-3.12
39,1,8014,0,1,133.1,102.5,0,0,0,27,1,0,8.9,1.4,3.51
17,1,9085,1,1,121.0,131.5,0,0,0,21,0,0,7.6,2.6,0.32
1,1,9147,1,1,133.0,147.0,0,0,0,18,1,0,9.4,-0.8,-3.12
1,4,9853,1,1,134.0,122.5,0,1,0,19,1,0,10.8,1.4,1.74
1,3,9254,1,1,115.0,117.5,1,0,0,18,0,0,9.4,-0.8,-3.12
51,1,9500,1,1,127.0,150.0,0,0,0,19,1,0,11.1,0.6,2.02
18,1,9500,1,1,135.0,127.5,1,0,0,19,1,0,16.2,0.3,-0.92
7,1,9991,0,43,140.0,140.0,0,0,0,33,0,0,11.1,0.6,2.02
7,1,9147,1,3,130.0,130.0,0,0,0,45,0,0,12.4,0.5,1.79
1,1,9238,1,1,135.0,133.3,0,0,0,20,1,0,11.1,0.6,2.02
39,2,9670,1,1,140.0,97.0,1,0,0,28,0,0,7.6,2.6,0.32
43,1,9500,1,1,120.0,112.0,1,0,0,19,1,0,12.7,3.7,-1.7
1,2,9254,1,1,140.0,123.6,1,0,0,18,0,0,12.7,3.7,-1.7
39,1,9254,1,3,133.1,130.5,0,0,0,38,0,0,15.5,2.8,-4.06
1,2,9670,1,1,135.0,133.3,0,0,0,19,0,0,9.4,-0.8,-3.12
1,1,9254,1,1,123.0,132.1,0,0,0,21,1,0,15.5,2.8,-4.06
1,1,9147,1,1,133.1,100.0,0,0,0,21,0,0,16.2,0.3,-0.92
1,1,9238,1,1,154.0,140.4,0,0,0,22,1,0,10.8,1.4,1.74
1,1,9853,1,1,148.0,141.7,0,0,0,18,1,0,9.4,-0.8,-3.12
17,2,9238,1,1,133.0,119.7,0,1,0,18,1,0,15.5,2.8,-4.06
1,1,9130,1,1,126.0,122.5,1,0,0,25,0,0,9.4,-0.8,-3.12
39,1,9085,1,19,133.1,140.0,0,0,0,24,0,0,16.2,0.3,-0.92
1,3,9500,1,1,125.0,119.4,1,0,0,19,0,0,12.4,0.5,1.79
16,1,171,1,1,145.0,155.0,1,0,0,24,0,0,12.4,0.5,1.79
1,2,9147,1,1,118.0,119.1,1,0,0,20,1,0,12.4,0.5,1.79
39,1,9147,1,1,120.0,122.7,0,0,0,25,0,0,10.8,1.4,1.74
1,1,9147,1,1,127.0,117.9,0,0,0,20,1,0,8.9,1.4,3.51
7,1,9500,1,3,130.0,130.0,0,0,0,23,0,0,9.4,-0.8,-3.12
17,3,9500,1,1,129.0,120.0,1,0,0,19,1,0,10.8,1.4,1.74
44,1,9003,1,39,130.0,130.0,0,0,0,29,0,0,13.9,-0.3,0.79
1,3,9254,1,1,121.0,116.8,1,0,0,21,0,0,11.1,0.6,2.02
1,1,9670,1,1,136.0,123.4,1,0,0,18,1,0,11.1,0.6,2.02
1,3,9070,1,1,125.0,125.4,1,0,0,19,0,0,9.4,-0.8,-3.12
1,3,9773,1,1,131.0,127.2,1,0,0,18,1,0,8.9,1.4,3.51
1,1,9085,1,1,122.0,103.4,0,0,0,19,0,0,7.6,2.6,0.32
1,1,9773,1,1,127.0,123.2,1,0,0,18,0,0,9.4,-0.8,-3.12
17,1,9147,1,1,136.0,124.1,0,0,0,18,0,0,8.9,1.4,3.51
39,1,9556,1,19,133.1,99.5,1,0,0,37,1,0,8.9,1.4,3.51
17,1,9991,0,40,127.0,124.9,0,0,0,29,0,0,16.2,0.3,-0.92
17,3,9070,1,1,116.0,110.8,0,0,0,18,0,0,7.6,2.6,0.32
1,1,9238,1,1,121.0,118.9,1,0,0,19,1,0,12.4,0.5,1.79
43,1,9238,1,1,124.0,118.8,1,0,0,22,0,0,16.2,0.3,-0.92
1,1,9254,1,1,131.0,137.0,0,0,0,20,1,0,15.5,2.8,-4.06
39,1,8014,0,1,100.0,100.0,0,0,0,34,0,0,12.7,3.7,-1.7
43,1,9119,1,1,130.0,120.0,0,0,0,30,0,0,7.6,2.6,0.32
1,1,9238,1,1,135.0,122.8,0,0,0,18,0,0,10.8,1.4,1.74
1,1,9238,1,1,130.0,121.6,0,0,0,18,0,0,12.4,0.5,1.79
1,2,9773,1,1,146.0,149.2,1,0,0,18,0,0,9.4,-0.8,-3.12
17,4,9500,1,1,146.0,140.0,1,0,0,18,0,0,12.7,3.7,-1.7
1,2,9773,1,1,154.0,133.4,1,0,0,19,1,0,12.7,3.7,-1.7
1,1,9070,1,1,137.0,126.2,1,0,0,19,1,0,10.8,1.4,1.74
1,5,9500,1,1,151.0,127.8,0,0,0,18,1,0,12.7,3.7,-1.7
44,1,9003,1,39,150.0,150.0,0,0,0,21,1,0,13.9,-0.3,0.79
1,2,9147,1,1,121.0,113.7,1,0,0,20,0,0,7.6,2.6,0.32
17,1,9147,1,1,122.0,117.8,1,0,0,20,0,0,13.9,-0.3,0.79
1,1,9500,1,1,143.0,136.7,0,0,0,19,0,0,11.1,0.6,2.02
1,1,9238,1,1,152.0,144.7,0,0,0,20,0,0,16.2,0.3,-0.92
17,3,9500,1,1,145.0,139.8,1,0,0,18,0,0,13.9,-0.3,0.79
42,1,9853,1,1,120.0,113.7,0,0,0,20,0,0,12.7,3.7,-1.7
7,1,9130,1,3,140.0,140.0,0,0,0,29,0,0,7.6,2.6,0.32
1,1,9500,1,1,143.0,142.3,0,0,0,18,1,0,12.4,0.5,1.79
1,1,9500,1,1,129.0,119.6,1,0,0,20,1,0,15.5,2.8,-4.06
16,2,9147,1,1,139.0,123.7,1,0,0,22,1,0,16.2,0.3,-0.92
1,1,8014,0,1,133.1,143.0,1,0,0,47,1,0,16.2,0.3,-0.92
51,1,9991,0,1,127.0,100.1,0,0,0,31,0,0,8.9,1.4,3.51
1,1,9070,1,1,126.0,119.4,0,0,0,21,1,0,16.2,0.3,-0.92
1,1,8014,0,1,128.0,122.1,0,0,0,21,0,0,7.6,2.6,0.32
39,1,9773,1,12,100.0,100.0,0,0,0,24,0,0,7.6,2.6,0.32
17,1,9070,1,1,123.0,113.9,0,0,0,18,0,0,15.5,2.8,-4.06
39,1,8014,0,15,170.0,101.0,0,0,0,32,0,0,7.6,2.6,0.32
18,2,8014,0,1,117.0,111.8,1,0,0,19,1,0,10.8,1.4,1.74
39,1,9500,1,1,140.0,140.0,1,0,0,24,0,0,9.4,-0.8,-3.12
17,4,9085,1,1,123.0,124.4,1,0,0,19,0,0,15.5,2.8,-4.06
44,1,9003,1,39,150.0,150.0,0,0,0,19,1,0,13.9,-0.3,0.79
44,1,9003,1,39,140.0,140.0,0,0,0,24,0,0,12.4,0.5,1.79
17,4,9238,1,1,123.0,116.0,1,0,0,18,1,0,8.9,1.4,3.51
1,1,9070,1,1,130.0,135.6,1,0,0,19,1,0,8.9,1.4,3.51
1,1,9500,1,1,137.0,121.0,0,0,0,19,1,0,10.8,1.4,1.74
17,2,9773,1,1,126.0,118.7,1,0,0,18,1,0,12.4,0.5,1.79
1,1,9238,1,1,125.0,125.7,1,0,0,18,0,0,12.4,0.5,1.79
17,4,9556,1,1,112.0,107.1,1,0,0,20,0,0,12.4,0.5,1.79
1,1,9500,1,1,141.0,125.5,0,0,0,18,0,0,9.4,-0.8,-3.12
17,4,9670,1,1,135.0,127.0,1,0,0,18,0,0,11.1,0.6,2.02
1,2,9085,1,1,117.0,113.5,1,0,0,21,1,0,10.8,1.4,1.74
1,1,9500,1,1,160.0,154.4,0,0,0,18,1,0,15.5,2.8,-4.06
51,1,9670,1,1,136.0,122.0,0,0,0,18,0,0,9.4,-0.8,-3.12
17,2,9238,1,1,143.0,128.0,1,0,0,19,0,0,9.4,-0.8,-3.12
1,1,9670,1,1,119.0,115.5,1,0,0,19,0,0,10.8,1.4,1.74
17,4,9670,1,1,120.0,117.2,1,0,0,18,0,0,11.1,0.6,2.02
39,1,9130,1,3,150.0,150.0,1,0,0,34,0,0,12.7,3.7,-1.7
1,3,9085,1,1,142.0,155.3,0,0,0,19,0,0,7.6,2.6,0.32
44,1,9130,1,39,120.0,120.0,1,0,0,19,0,0,12.4,0.5,1.79
51,1,9238,1,1,160.0,116.1,0,0,0,26,0,0,11.1,0.6,2.02
17,1,9853,1,1,133.1,118.9,1,0,0,21,0,0,7.6,2.6,0.32
17,2,9147,1,1,142.0,127.3,0,0,0,18,1,0,11.1,0.6,2.02
17,4,9853,1,1,121.0,113.7,1,0,0,20,1,0,9.4,-0.8,-3.12
